Company_Code,Company_Name
1010,Riyad Bank
1020,Bank Aljazira
1030,Saudi Investment Bank
1040,Saudi Hollandi Bank
1050,Banque Saudi Fransi
1060,Saudi British Bank
1080,Arab National Bank
1090,Samba Financial Group
1120,Al Rajhi Bank
1140,Bank Albilad
1150,Alinma Bank
1180,National Commercial Bank
1201,Takween Advanced Industries Co.
1202,Middle East Paper Co.
1210,Basic Chemical Industries Co.
1211,Saudi Arabian Mining Co.
1212,Astra Industrial Group
1213,Al Sorayai Trading and Industrial Group
1214,Al Hassan Ghazi Ibrahim Shaker Co.
1301,United Wire Factories Co.
1302,Bawan Co.
1303,Electrical Industries Co.
1310,Mohammad Al Mojil Group
1320,Saudi Steel Pipe Co.
1330,Abdullah A. M. Al-Khodari Sons Co.
1810,Altayyar Travel Group
1820,Abdulmohsen Alhokair Group for Tourism and Development
2001,Methanol Chemicals Co.
2002,National Petrochemical Co.
2010,Saudi Basic Industries Corp.
2020,Saudi Arabia Fertilizers Co.
2030,Saudi Arabia Refineries Co.
2040,Saudi Ceramic Co.
2050,Savola Group
2060,National Industrialization Co.
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.
2080,National Gas and Industrialization Co.
2090,National Gypsum Co.
2100,Wafrah for Industry and Development Co.
2110,Saudi Cable Co.
2120,Saudi Advanced Industries Co.
2130,Saudi Industrial Development Co.
2140,Al-Ahsa Development Co.
2150,The National Company for Glass Industries
2160,Saudi Arabian Amiantit Co.
2170,Alujain Corp.
2180,Filing and Packing Materials Manufacturing Co.
2190,Saudi Industrial Services Co.
2200,Arabian Pipes Co.
2210,Nama Chemicals Co.
2220,National Metal Manufacturing and Casting Co.
2230,Saudi Chemical Co.
2240,Zamil Industrial Investment Co.
2250,Saudi Industrial Investment Group
2260,Sahara Petrochemical Co.
2270,Saudia Dairy and Foodstuff Co.
2280,Almarai Co.
2290,Yanbu National Petrochemical Co.
2300,Saudi Paper Manufacturing Co.
2310,Saudi International Petrochemical Co.
2320,Al-Babtain Power and Telecommunication Co.
2330,Advanced Petrochemical Co.
2340,Al Abdullatif Industrial Investment Co.
2350,Saudi Kayan Petrochemical Co.
2360,Saudi Vitrified Clay Pipes Co.
2370,Middle East Specialized Cables Co.
2380,Rabigh Refining and Petrochemical Co.
3001,Hail Cement Co.
3002,Najran Cement Co.
3003,City Cement Co.
3004,Northern Region Cement Co.
3005,Umm Al-Qura Cement Co.
3010,Arabian Cement Co.
3020,Yamama Cement Co.
3030,Saudi Cement Co.
3040,Qassim Cement Co.
3050,Southern Province Cement Co.
3060,Yanbu Cement Co.
3080,Eastern Province Cement Co.
3090,Tabuk Cement Co.
3091,Al Jouf Cement Co.
4001,Abdullah Al Othaim Markets Co.
4002,Mouwasat Medical Services Co.
4003,United Electronics Co.
4004,Dallah Healthcare Holding Co.
4005,National Medical Care Co.
4006,Saudi Marketing Co.
4007,Al Hammadi Company for Development and Investment
4008,Saudi Company for Hardware
4010,Dur Hospitality Co.
4020,Saudi Real Estate Co.
4030,National Shipping Company of Saudi Arabia
4031,Saudi Ground Services Co.
4040,Saudi Public Transport Co.
4050,Saudi Automotive Services Co.
4061,Anaam International Holding Group
4070,Tihama Advertising and Public Relations Co.
4080,Aseer Trading, Tourism and Manufacturing Co.
4090,Taiba Holding Co.
4100,Makkah Construction and Development Co.
4110,Saudi Transport and Investment Co.
4130,Al-Baha Investment and Development Co.
4140,Saudi Industrial Export Co.
4150,Arriyadh Development Co.
4160,National Agricultural Marketing Co.
4170,Tourism Enterprise Co.
4180,Fitaihi Holding Group
4190,Jarir Marketing Co.
4200,Aldrees Petroleum and Transport Services Co.
4210,Saudi Research and Marketing Group
4220,Emaar The Economic City
4230,Red Sea Housing Services Co.
4240,Fawaz Abdulaziz Alhokair Co.
4250,Jabal Omar Development Co.
4260,United International Transportation Co.
4270,Saudi Printing and Packaging Co.
4280,Kingdom Holding Co.
4290,Alkhaleej Training and Education Co.
4300,Dar Alarkan Real Estate Development Co.
4310,Knowledge Economic City
4320,Alandalus Property Co.
5110,Saudi Electricity Co.
6001,Halwani Bros. Co.
6002,Herfy Food Services Co.
6004,Saudi Airlines Catering Co.
6010,National Agricultural Development Co.
6020,Qassim Agricultural Co.
6040,Tabuk Agricultural Development Co.
6050,Saudi Fisheries Co.
6060,Ash-Sharqiyah Development Co.
6070,Al-Jouf Agricultural Development Co.
6080,Bishah Agricultural Development Co.
6090,Jazan Development Co.
7010,Saudi Telecom Co.
7020,Etihad Etisalat Co.
7030,Mobile Telecommunication Company Saudi Arabia
7040,Etihad Atheeb Telecommunication Co.
8010,The Company for Cooperative Insurance
8011,MetLife AIG ANB Cooperative Insurance Co.
8012,Aljazira Takaful Taawuni Co.
8020,Malath Cooperative Insurance and Reinsurance Co.
8030,The Mediterranean and Gulf Insurance and Reinsurance Co.
8040,Allianz Saudi Fransi Cooperative Insurance Co.
8050,Salama Cooperative Insurance Co.
8060,Saudi United Cooperative Insurance Co.
8070,Arabian Shield Cooperative Insurance Co.
8080,SABB Takaful Co.
8090,Sanad Cooperative Insurance Co.
8100,Saudi Arabian Cooperative Insurance Co.
8110,Saudi Indian Company for Cooperative Insurance
8120,Gulf Union Cooperative Insurance Co.
8130,Alahli Takaful Co.
8140,Al-Ahlia Insurance Co.
8150,Allied Cooperative Insurance Group
8160,Arabia Insurance Cooperative Co.
8170,Trade Union Cooperative Insurance Co.
8180,Al Sagr Cooperative Insurance Co.
8190,United Cooperative Assurance Co.
8200,Saudi Re for Cooperative Reinsurance Co.
8210,Bupa Arabia for Cooperative Insurance Co.
8220,Weqaya Takaful Insurance and Reinsurance Co.
8230,Al-Rajhi Company for Cooperative Insurance
8240,ACE Arabia Cooperative Insurance Co.
8250,AXA Cooperative Insurance Co.
8260,Gulf General Cooperative Insurance Co.
8270,Buruj Cooperative Insurance Co.
8280,Al Alamiya for Cooperative Insurance Co.
8290,Solidarity Saudi Takaful Co.
8300,Wataniya Insurance Co.
8310,Amana Cooperative Insurance Co.
8311,Saudi Enaya Cooperative Insurance Co.
8312,Alinma Tokio Marine Co.
